================================================================================
📊 模型源数据集训练与评估综合报告
生成时间: 2026-01-15 12:59:13
保存路径: Transfer_Learning_ResNet50_20260115_094012\stage1_source_training
设备: cuda (多GPU: True)
总训练轮次: 139/150
总训练时间: 10630.21秒 (约177.17分钟)
最佳验证模型所在轮次: 89
最佳模型对应学习率: 1.00e-08
类别配置: 6类 (Ra0.05, Ra0.1, Ra0.2, Ra0.4, Ra0.8, Ra1.6)
================================================================================

📉 学习率调整记录
----------------------------------------------------------------------
调整轮次       调整前LR           调整后LR           调整原因                          
----------------------------------------------------------------------
38         1.00e-04        5.00e-05        中期-验证指标连续5轮未提升                
54         5.00e-05        2.50e-05        中期-验证指标连续5轮未提升                
55         2.50e-05        1.25e-05        验证损失连续5轮无下降（损失驱动）             
60         1.25e-05        6.25e-06        后期-验证指标连续2轮未提升                
62         6.25e-06        3.13e-06        后期-验证指标连续2轮未提升                
65         3.13e-06        1.56e-06        后期-验证指标连续2轮未提升                
67         1.56e-06        7.81e-07        后期-验证指标连续2轮未提升                
69         7.81e-07        3.91e-07        后期-验证指标连续2轮未提升                
71         3.91e-07        1.95e-07        后期-验证指标连续2轮未提升                
73         1.95e-07        9.77e-08        后期-验证指标连续2轮未提升                
74         9.77e-08        4.88e-08        验证损失连续5轮无下降（损失驱动）             
76         4.88e-08        2.44e-08        后期-验证指标连续3轮未提升                
79         2.44e-08        1.22e-08        后期-验证指标连续2轮未提升                
81         1.22e-08        1.00e-08        后期-验证指标连续2轮未提升                

📈 训练集指标汇总
--------------------------------------------------
Epoch    Loss       Accuracy(%)     Learning Rate  
--------------------------------------------------
1        1.5095     38.72           1.00e-04       
2        1.1471     54.69           1.00e-04       
3        0.9551     62.43           1.00e-04       
4        0.8650     65.84           1.00e-04       
5        0.8090     68.08           1.00e-04       
6        0.7532     69.70           1.00e-04       
7        0.6896     72.62           1.00e-04       
8        0.6684     73.38           1.00e-04       
9        0.6548     74.51           1.00e-04       
10       0.6219     75.98           1.00e-04       
11       0.5730     77.59           1.00e-04       
12       0.5622     77.88           1.00e-04       
13       0.5337     78.83           1.00e-04       
14       0.5125     79.56           1.00e-04       
15       0.5003     80.93           1.00e-04       
16       0.4870     81.33           1.00e-04       
17       0.4580     82.26           1.00e-04       
18       0.4514     82.17           1.00e-04       
19       0.4388     83.52           1.00e-04       
20       0.4336     83.09           1.00e-04       
21       0.4014     84.83           1.00e-04       
22       0.3921     84.72           1.00e-04       
23       0.3956     84.82           1.00e-04       
24       0.3781     85.87           1.00e-04       
25       0.3835     84.93           1.00e-04       
26       0.3549     86.61           1.00e-04       
27       0.3580     86.31           1.00e-04       
28       0.3522     86.41           1.00e-04       
29       0.3284     87.38           1.00e-04       
30       0.3326     87.36           1.00e-04       
31       0.3082     88.52           1.00e-04       
32       0.3252     87.53           1.00e-04       
33       0.2960     89.01           1.00e-04       
34       0.3015     88.54           1.00e-04       
35       0.2919     88.77           1.00e-04       
36       0.2753     89.54           1.00e-04       
37       0.2681     89.74           1.00e-04       
38       0.2655     90.01           5.00e-05       
39       0.2178     92.17           5.00e-05       
40       0.2094     92.09           5.00e-05       
41       0.2116     92.01           5.00e-05       
42       0.2009     92.60           5.00e-05       
43       0.1924     92.75           5.00e-05       
44       0.1839     93.07           5.00e-05       
45       0.1856     93.27           5.00e-05       
46       0.1691     93.69           5.00e-05       
47       0.1753     93.60           5.00e-05       
48       0.1681     94.11           5.00e-05       
49       0.1690     93.79           5.00e-05       
50       0.1549     94.23           5.00e-05       
51       0.1632     93.89           5.00e-05       
52       0.1666     93.99           5.00e-05       
53       0.1544     94.54           5.00e-05       
54       0.1483     94.44           2.50e-05       
55       0.1299     95.42           1.25e-05       
56       0.1089     96.20           1.25e-05       
57       0.1072     95.97           1.25e-05       
58       0.0959     96.66           1.25e-05       
59       0.0951     96.37           1.25e-05       
60       0.0987     96.16           6.25e-06       
61       0.0901     96.80           6.25e-06       
62       0.0902     96.71           3.13e-06       
63       0.0890     96.63           3.13e-06       
64       0.0881     96.99           3.13e-06       
65       0.0803     97.14           1.56e-06       
66       0.0813     96.88           1.56e-06       
67       0.0792     97.13           7.81e-07       
68       0.0835     97.09           7.81e-07       
69       0.0776     97.23           3.91e-07       
70       0.0789     97.25           3.91e-07       
71       0.0823     96.92           1.95e-07       
72       0.0780     97.30           1.95e-07       
73       0.0802     97.03           9.77e-08       
74       0.0792     97.12           4.88e-08       
75       0.0808     96.98           4.88e-08       
76       0.0804     97.26           2.44e-08       
77       0.0789     97.19           2.44e-08       
78       0.0804     97.08           2.44e-08       
79       0.0837     96.86           1.22e-08       
80       0.0809     97.15           1.22e-08       
81       0.0775     97.14           1.00e-08       
82       0.0794     97.19           1.00e-08       
